"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Feb 29 14:35:24 IST 2024","Thu Feb 29 14:35:24 IST 2024","4","testcases","test_login2","TestWorkspace","","","test_stopworkspace",""
"broken","Thu Feb 29 14:34:16 IST 2024","Thu Feb 29 14:34:16 IST 2024","5","testcases","test_login2","TestWorkspace","","","test_create_pipeline[pipeline_config1]",""
"broken","Thu Feb 29 14:35:14 IST 2024","Thu Feb 29 14:35:24 IST 2024","9196","testcases","test_login2","TestWorkspace","","","test_createworkspace[workspace_data3]",""
"broken","Thu Feb 29 14:34:56 IST 2024","Thu Feb 29 14:35:05 IST 2024","9204","testcases","test_login2","TestWorkspace","","","test_createworkspace[workspace_data1]",""
"broken","Thu Feb 29 14:35:24 IST 2024","Thu Feb 29 14:35:24 IST 2024","2","testcases","test_login2","TestWorkspace","","","test_restartworkspace",""
"passed","Thu Feb 29 14:34:16 IST 2024","Thu Feb 29 14:34:17 IST 2024","193","testcases","test_login2","TestWorkspace","","","test_clickworkspace",""
"broken","Thu Feb 29 14:35:05 IST 2024","Thu Feb 29 14:35:14 IST 2024","9187","testcases","test_login2","TestWorkspace","","","test_createworkspace[workspace_data2]",""
"passed","Thu Feb 29 14:34:07 IST 2024","Thu Feb 29 14:34:16 IST 2024","9144","testcases","test_login2","TestWorkspace","","","test_click_pipeline_tab_and_launchpad",""
"broken","Thu Feb 29 14:35:24 IST 2024","Thu Feb 29 14:35:24 IST 2024","3","testcases","test_login2","TestWorkspace","","","test_Shareworkspace",""
"passed","Thu Feb 29 14:34:17 IST 2024","Thu Feb 29 14:34:56 IST 2024","39493","testcases","test_login2","TestWorkspace","","","test_createworkspace[workspace_data0]",""
"broken","Thu Feb 29 14:35:24 IST 2024","Thu Feb 29 14:35:24 IST 2024","5","testcases","test_login2","TestWorkspace","","","test_startworkspace",""
"passed","Thu Feb 29 14:35:24 IST 2024","Thu Feb 29 14:35:24 IST 2024","6","testcases","test_login2","TestWorkspace","","","test_Deleteworkspace",""
"passed","Thu Feb 29 14:35:24 IST 2024","Thu Feb 29 14:35:24 IST 2024","6","testcases","test_login2","TestWorkspace","","","test_connectworkspace",""
"broken","Thu Feb 29 14:34:16 IST 2024","Thu Feb 29 14:34:16 IST 2024","15","testcases","test_login2","TestWorkspace","","","test_create_pipeline[pipeline_config0]",""
"passed","Thu Feb 29 14:33:34 IST 2024","Thu Feb 29 14:34:07 IST 2024","33171","testcases","test_login2","TestWorkspace","","","test_login",""
